# Digitized from Steinberg & Heizler 2022, ApJS 258, 14 (arXiv:2108.13453) Fig. 1(c)
# Marshak wave material temperature at ct=500. DIMC panel; DIMC curve (cyan, N with most samples).

# x,T
0.0019457244,0.99234152
0.011973689,0.98898066
0.022001654,0.99092132
0.032029619,0.99107247
0.042057584,0.99089683
0.052085549,0.99037034
0.062113514,0.98797954
0.072141478,0.98418749
0.082169443,0.98873814
0.092197408,0.9818739
0.10222537,0.98301211
0.11225334,0.98378268
0.1222813,0.98191453
0.13230927,0.97800529
0.14233723,0.9797699
0.1523652,0.98156891
0.16239316,0.9776636
0.17242113,0.97962437
0.18244909,0.98041151
0.19247706,0.97729149
0.20250502,0.97611922
0.21253299,0.97237427
0.22256095,0.9743767
0.23258892,0.96974839
0.24261688,0.9692054
0.25264485,0.96509084
0.26267281,0.96978929
0.27270078,0.96552066
0.28272874,0.96351218
0.29275671,0.96148058
0.30278467,0.96170216
0.31281264,0.962115
0.3228406,0.9587981
0.33286856,0.95843109
0.34289653,0.9587813
0.35292449,0.95645981
0.36295246,0.95707558
0.37298042,0.95065054
0.38300839,0.95219596
0.39303635,0.94710508
0.40306432,0.95190761
0.41309228,0.95134361
0.42312025,0.95091492
0.43314821,0.94913814
0.44317618,0.95047021
0.45320414,0.94827256
0.46323211,0.94390652
0.47326007,0.94451146
0.48328804,0.94089391
0.493316,0.94228776
0.50334397,0.93922981
0.51337193,0.93625191
0.5233999,0.93653099
0.53342786,0.93139885
0.54345583,0.93459825
0.55348379,0.93387268
0.56351176,0.92948351
0.57353972,0.93053817
0.58356769,0.92977739
0.59359565,0.92617109
0.60362362,0.92475485
0.61365158,0.92311053
0.62367955,0.92237436
0.63370751,0.91783935
0.64373548,0.91590109
0.65376344,0.91511874
0.66379141,0.91756038
0.67381937,0.91417034
0.68384734,0.91379271
0.6938753,0.91688752
0.70390326,0.91035528
0.71393123,0.91149036
0.72395919,0.91138136
0.73398716,0.9056389
0.74401512,0.90411223
0.75404309,0.90323415
0.76407105,0.89932075
0.77409902,0.90134272
0.78412698,0.89767584
0.79415495,0.89960035
0.80418291,0.89486957
0.81421088,0.89031907
0.82423884,0.89224087
0.83426681,0.89050554
0.84429477,0.88743011
