# Digitized from Steinberg & Heizler 2022, ApJS 258, 14 (arXiv:2108.13453) Fig. 5(e)
# Cylindrical hohlraum material temperature along r=0.05 cm at t=10 ns.
# z(cm), T(keV)  McClarren & Urbatsch 2009 reference
# z,T_keV
0.41637238,-0.00013676376
0.41789468,-1.4472345e-06
0.41941697,0.00042398504
0.42093926,0.00085255369
0.42246156,0.0012811224
0.42398385,0.001709691
0.42550614,0.0021382597
0.42702844,0.0025668283
0.42855073,0.002995397
0.43007302,0.0032823317
0.43159531,0.0032823317
0.43311761,0.0032823317
0.4346399,0.0032823317
0.43616219,0.0032823317
0.43768449,0.0032823317
0.43920678,0.0032823317
0.44072907,0.0032823317
0.44225137,0.0032823317
0.44377366,0.0032823317
0.44529595,0.0032823317
0.44681824,0.0032823317
0.44834054,0.0032823317
0.44986283,0.0032823317
0.45138512,0.0032823317
0.45290742,0.0032823317
0.45442971,0.0032823317
0.455952,0.0032061171
0.4574743,0.0030415429
0.45899659,0.0028769687
0.46051888,0.0027123945
0.46204118,0.0025478203
0.46356347,0.0023832461
0.46508576,0.0022186719
0.46660805,0.0020540977
0.46813035,0.0018895235
0.46965264,0.0017249493
0.47117493,0.0016411661
0.47269723,0.0016411661
0.47421952,0.0016411661
0.47574181,0.0016411661
0.47726411,0.0016411661
0.4787864,0.0016411661
0.48030869,0.0016411661
0.48183098,0.0016411661
0.48335328,0.0016411661
0.48487557,0.0016411661
0.48639786,0.0016411661
0.48792016,0.0017654328
0.48944245,0.001930007
0.49096474,0.0020945812
0.49248704,0.0022591554
0.49400933,0.0024237296
0.49553162,0.0025883038
0.49705392,0.002752878
0.49857621,0.0029174522
0.5000985,0.0030820264
0.50162079,0.0032466006
0.50314309,0.0032823317
0.50466538,0.0032823317
0.50618767,0.0032823317
0.50770997,0.0032823317
0.50923226,0.0032823317
0.51075455,0.0032823317
0.51227685,0.0032823317
0.51379914,0.0032823317
0.51532143,0.0032823317
0.51684372,0.0032823317
0.51836602,0.0032823317
0.51988831,0.0032823317
0.5214106,0.0032823317
0.5229329,0.0032823317
0.52445519,0.0032823317
0.52597748,0.0032823317
0.52749978,0.0032823317
0.52902207,0.0032823317
0.53054436,0.0033462252
0.53206666,0.0035107995
0.53358895,0.0036753737
0.53511124,0.003839948
0.53663353,0.0040045222
0.53815583,0.0041690965
0.53967812,0.0043336707
0.54120041,0.004498245
0.54272271,0.0046628192
0.544245,0.0048273935
0.54576729,0.051421542
0.54728959,0.16318422
0.54881188,0.27494689
0.55033417,0.38670956
0.55185646,0.49847224
0.55337876,0.61023491
0.55490105,0.72199759
0.55642334,0.83376026
0.55794564,0.86630908
0.55946793,0.87346023
0.56099022,0.88061139
0.56251252,0.88776254
0.56403481,0.89491369
0.5655571,0.90206484
0.5670794,0.90921599
0.56860169,0.91636714
0.57012398,0.9235183
0.57164627,0.91752568
0.57316857,0.90072085
0.57469086,0.88391601
0.57621315,0.86711118
0.57773545,0.85030634
0.57925774,0.83350151
0.58078003,0.81669667
0.58230233,0.79989184
0.58382462,0.783087
0.58534691,0.77210267
0.5868692,0.77241159
0.5883915,0.77272051
0.58991379,0.77302944
0.59143608,0.77333836
0.59295838,0.77364728
0.59448067,0.7739562
0.59600296,0.77426512
0.59752526,0.77457404
0.59904755,0.77488296
0.60056984,0.77519188
0.60209214,0.77259613
0.60361443,0.76809821
0.60513672,0.76360029
0.60665901,0.75910236
0.60818131,0.75460444
0.6097036,0.75010652
0.61122589,0.74560859
0.61274819,0.74111067
0.61427048,0.73445949
0.61579277,0.71811864
0.61731507,0.70177779
0.61883736,0.68543694
0.62035965,0.66909609
0.62188194,0.65275524
0.62340424,0.63641439
0.62492653,0.62007354
0.62644882,0.60373269
0.62797112,0.58739184
0.62949341,0.56883587
0.6310157,0.54192798
0.632538,0.51502009
0.63406029,0.48811221
0.63558258,0.46120432
0.63710488,0.43429643
0.63862717,0.40738855
0.64014946,0.38048066
0.64167175,0.35357277
