# Digitized from Steinberg & Heizler 2022, ApJS 258, 14 (arXiv:2108.13453) Fig. 5(f)
# Cylindrical hohlraum radiation temperature along r=0.05 cm at t=10 ns.
# z(cm), T(keV)  DIMC
# z,T_keV
0.0050260095,0.92869476
0.0085096741,0.93817951
0.011993339,0.94766426
0.015477003,0.95595154
0.018960668,0.95651036
0.022444332,0.95706918
0.025927997,0.95107804
0.029411662,0.92629838
0.032895326,0.90151873
0.036378991,0.89168754
0.039862655,0.90497813
0.04334632,0.91826871
0.046829985,0.93211165
0.050313649,0.94645073
0.053797314,0.96078981
0.057280978,0.97405773
0.060764643,0.98675179
0.064248308,0.99944584
0.067731972,0.98453321
0.071215637,0.96207341
0.074699301,0.9396136
0.078182966,0.94548511
0.08166663,0.95417051
0.085150295,0.96317184
0.08863396,0.97906848
0.092117624,0.99496512
0.095601289,1.0089611
0.099084953,1.0135543
0.10256862,1.0181476
0.10605228,1.0165825
0.10953595,1.0008048
0.11301961,0.98502703
0.11650328,0.97268244
0.11998694,0.96495147
0.12347061,0.95722051
0.12695427,0.95322501
0.13043793,0.95215493
0.1339216,0.95108484
0.13740526,0.93972099
0.14088893,0.92362674
0.14437259,0.90753249
0.14785626,0.90115641
0.15133992,0.89692364
0.15482359,0.89269088
0.15830725,0.87445052
0.16179092,0.85537365
0.16527458,0.83831754
0.16875825,0.84521362
0.17224191,0.85210969
0.17572557,0.86198175
0.17920924,0.88359982
0.1826929,0.90521789
0.18617657,0.91739056
0.18966023,0.91092252
0.1931439,0.90445448
0.19662756,0.89792127
0.20011123,0.89131177
0.20359489,0.88470227
0.20707856,0.88788562
0.21056222,0.89774022
0.21404588,0.90759481
0.21752955,0.90828106
0.22101321,0.9055583
0.22449688,0.90283554
0.22798054,0.89590036
0.23146421,0.88824098
0.23494787,0.8805816
0.23843154,0.87684592
0.2419152,0.87316008
0.24539887,0.86995567
0.24888253,0.87057606
0.2523662,0.87119644
0.25584986,0.87658298
0.25933352,0.8965816
0.26281719,0.91658022
0.26630085,0.91704212
0.26978452,0.88428095
0.27326818,0.85151979
0.27675185,0.84443775
0.28023551,0.86258157
0.28371918,0.88072538
0.28720284,0.88047626
0.29068651,0.86936896
0.29417017,0.85826166
0.29765384,0.87287327
0.3011375,0.89547575
0.30462116,0.91807823
0.30810483,0.90156058
0.31158849,0.88007374
0.31507216,0.85914087
0.31855582,0.86348064
0.32203949,0.86782041
0.32552315,0.87338164
0.32900682,0.88609956
0.33249048,0.89881748
0.33597415,0.90584146
0.33945781,0.89822011
0.34294147,0.89059875
0.34642514,0.88864879
0.3499088,0.89505547
0.35339247,0.90146215
0.35687613,0.89681999
0.3603598,0.88270682
0.36384346,0.86859364
0.36732713,0.86623046
0.37081079,0.8698454
0.37429446,0.87346034
0.37777812,0.89393185
0.38126179,0.91869827
0.38474545,0.9434647
0.38822911,0.93964364
0.39171278,0.93338013
0.39519644,0.92791149
0.39868011,0.93598466
0.40216377,0.94405782
0.40564744,0.94781392
0.4091311,0.93187476
0.41261477,0.91593561
0.41609843,0.90722525
0.4195821,0.91431197
0.42306576,0.92139869
0.42654942,0.91652432
0.43003309,0.89691806
0.43351675,0.87731181
0.43700042,0.87248714
0.44048408,0.87870293
0.44396775,0.88491873
0.44745141,0.8896241
0.45093508,0.8937023
0.45441874,0.89778049
0.45790241,0.89712172
0.46138607,0.89549917
0.46486974,0.89387662
0.4683534,0.87123762
0.47183706,0.84783852
0.47532073,0.82687684
0.47880439,0.83073039
0.48228806,0.83458394
0.48577172,0.84057463
0.48925539,0.85398631
0.49273905,0.86739799
0.49622272,0.87673271
0.49970638,0.87842684
0.50319005,0.88012097
0.50667371,0.88193269
0.51015738,0.88387072
0.51364104,0.88580876
0.5171247,0.8927792
0.52060837,0.90301557
0.52409203,0.91325194
0.5275757,0.89397291
0.53105936,0.86435546
0.53454303,0.834738
0.53802669,0.86047729
0.54151036,0.894861
0.54499402,0.92924471
0.54847769,0.90572002
0.55196135,0.88214258
0.55544501,0.86225288
0.55892868,0.86855218
0.56241234,0.87485149
0.56589601,0.87537825
0.56937967,0.85926759
0.57286334,0.84315693
0.576347,0.83869926
0.57983067,0.85309938
0.58331433,0.8674995
0.586798,0.87311181
0.59028166,0.87048417
0.59376533,0.86785653
0.59724899,0.85428172
0.60073265,0.8345606
0.60421632,0.81483948
0.60769998,0.79538231
0.61118365,0.77600196
0.61466731,0.75662161
0.61815098,0.7181775
0.62163464,0.67758993
0.62511831,0.63829029
0.62860197,0.63663195
0.63208564,0.63497361
0.6355693,0.59674455
0.63905297,0.37641493
0.64253663,0.15608532
0.64602029,0
0.64950396,0
0.65298762,0
0.65647129,0
0.65995495,0
0.66343862,0
0.66692228,0
0.67040595,0
0.67388961,0
0.67737328,0
0.68085694,0
0.6843406,0
0.68782427,0
0.69130793,0
0.6947916,0
0.69827526,0
0.70175893,0
0.70524259,0
0.70872626,0
0.71220992,0
0.71569359,0
0.71917725,0
0.72266092,0
0.72614458,0
0.72962824,0
0.73311191,0
0.73659557,0
0.74007924,0
0.7435629,0
0.74704657,0
0.75053023,0
0.7540139,0
0.75749756,0
0.76098123,0
0.76446489,0
0.76794855,0
0.77143222,0
0.77491588,0
0.77839955,0
0.78188321,0
0.78536688,0
0.78885054,0
0.79233421,0
0.79581787,0
0.79930154,0
