# Digitized from Steinberg & Heizler 2022, ApJS 258, 14 (arXiv:2108.13453) Fig. 5(f)
# Cylindrical hohlraum radiation temperature along r=0.05 cm at t=10 ns.
# z(cm), T(keV)  McClarren & Urbatsch 2009 reference
# z,T_keV
-0.00013676209,0.99078554
0.0033726954,0.99009401
0.0068821528,0.98940248
0.01039161,0.98871096
0.013901068,0.98783213
0.017410525,0.98293981
0.020919983,0.97804749
0.02442944,0.97315518
0.027938898,0.97243188
0.031448355,0.97661485
0.034957812,0.98079781
0.03846727,0.98498078
0.041976727,0.98916374
0.045486185,0.98765035
0.048995642,0.98543432
0.0525051,0.98321829
0.056014557,0.98309999
0.059524015,0.98798885
0.063033472,0.9928777
0.06654293,0.99776656
0.070052387,0.99802843
0.073561844,0.99070263
0.077071302,0.98337683
0.080580759,0.97605103
0.084090217,0.96872523
0.087599674,0.96733054
0.091109132,0.96733054
0.094618589,0.96733054
0.098128047,0.96733054
0.1016375,0.96892617
0.10514696,0.97171731
0.10865642,0.97450844
0.11216588,0.97729958
0.11567533,0.98009816
0.11918479,0.98587739
0.12269425,0.99165662
0.12620371,0.99743586
0.12971316,0.98857772
0.13322262,0.9592795
0.13673208,0.92998128
0.14024154,0.90068307
0.14375099,0.8853578
0.14726045,0.88395849
0.15076991,0.88255918
0.15427937,0.88115987
0.15778882,0.87976056
0.16129828,0.88967884
0.16480774,0.90042734
0.1683172,0.91117584
0.17182665,0.91194583
0.17533611,0.90775538
0.17884557,0.90356493
0.18235503,0.89937448
0.18586448,0.89498684
0.18937394,0.88879977
0.1928834,0.8826127
0.19639286,0.87642563
0.19990231,0.87023857
0.20341177,0.86748604
0.20692123,0.87780467
0.21043069,0.8881233
0.21394014,0.89461332
0.2174496,0.89104103
0.22095906,0.88746873
0.22446851,0.88389644
0.22797797,0.88032414
0.23148743,0.88026047
0.23499689,0.8860397
0.23850634,0.89181893
0.2420158,0.89759816
0.24552526,0.89572491
0.24903472,0.89181732
0.25254417,0.88790972
0.25605363,0.88679114
0.25956309,0.88818296
0.26307255,0.88957479
0.266582,0.89096662
0.27009146,0.89235844
0.27360092,0.89199829
0.27711038,0.8915596
0.28061983,0.89112091
0.28412929,0.88733026
0.28763875,0.87787837
0.29114821,0.86842649
0.29465766,0.85897461
0.29816712,0.84952273
0.30167658,0.84837995
0.30518604,0.85619514
0.30869549,0.86401032
0.31220495,0.86817742
0.31571441,0.85922034
0.31922387,0.85026326
0.32273332,0.84130618
0.32624278,0.83886453
0.32975224,0.85154897
0.3332617,0.86423341
0.33677115,0.87691784
0.34028061,0.88960228
0.34379007,0.89373992
0.34729953,0.88509122
0.35080898,0.87644252
0.35431844,0.86779382
0.3578279,0.85941756
0.36133736,0.85244346
0.36484681,0.84546936
0.36835627,0.83849525
0.37186573,0.83152115
0.37537519,0.84319736
0.37888464,0.86764726
0.3823941,0.89209717
0.38590356,0.89178013
0.38941302,0.87876356
0.39292247,0.86574698
0.39643193,0.8527304
0.39994139,0.85303873
0.40345085,0.85791761
0.4069603,0.86279649
0.41046976,0.86767537
0.41397922,0.87107056
0.41748867,0.86749115
0.42099813,0.86391174
0.42450759,0.86033233
0.42801705,0.85675292
0.4315265,0.85532732
0.43503596,0.85931236
0.43854542,0.8632974
0.44205488,0.86728244
0.44556433,0.86379995
0.44907379,0.85695904
0.45258325,0.85011813
0.45609271,0.84440591
0.45960216,0.840214
0.46311162,0.8360221
0.46662108,0.8318302
0.47013054,0.82763829
0.47363999,0.83191703
0.47714945,0.8374993
0.48065891,0.84308158
0.48416837,0.84866385
0.48767782,0.85636241
0.49118728,0.86905947
0.49469674,0.88175653
0.4982062,0.89357521
0.50171565,0.8802419
0.50522511,0.86690859
0.50873457,0.85357528
0.51224403,0.84024197
0.51575348,0.82921893
0.51926294,0.8332148
0.5227724,0.83721067
0.52628186,0.84120654
0.52979131,0.84651893
0.53330077,0.85291671
0.53681023,0.85931449
0.54031969,0.86571227
0.54382914,0.87214297
0.5473386,0.8786469
0.55084806,0.88515082
0.55435752,0.89165475
0.55786697,0.8914791
0.56137643,0.88101794
0.56488589,0.87055679
0.56839535,0.86009563
0.5719048,0.84963448
0.57541426,0.83863813
0.57892372,0.82752789
0.58243318,0.81641765
0.58594263,0.80781919
0.58945209,0.80720372
0.59296155,0.80658824
0.59647101,0.80597277
0.59998046,0.8053573
0.60348992,0.8042426
0.60699938,0.77495137
0.61050883,0.74566014
0.61401829,0.71636891
0.61752775,0.70424601
0.62103721,0.69773335
0.62454666,0.6912207
0.62805612,0.68470804
0.63156558,0.61722085
0.63507504,0.53788194
0.63858449,0.45854303
0.64209395,0.37920412
0.64560341,0.27762233
0.64911287,0.16116968
0.65262232,0.044717016
0.65613178,0.0038693773
0.65964124,0.0024733329
0.6631507,0.0010772886
0.66666015,-0.00013676376
0.67016961,-0.00013676376
0.67367907,-0.00013676376
0.67718853,-0.00013676376
0.68069798,-0.00013676376
0.68420744,-0.00013676376
0.6877169,-0.00013676376
0.69122636,-0.00013676376
0.69473581,-0.00013676376
0.69824527,-0.00013676376
0.70175473,-0.00013676376
0.70526419,-0.00013676376
0.70877364,-0.00013676376
0.7122831,-0.00013676376
0.71579256,-0.00013676376
0.71930202,-0.00013676376
0.72281147,-0.00013676376
0.72632093,-0.00013676376
0.72983039,-0.00013676376
0.73333985,-0.00013676376
0.7368493,-0.00013676376
0.74035876,-0.00013676376
0.74386822,-0.00013676376
0.74737768,-0.00013676376
0.75088713,-0.00013676376
0.75439659,-0.00013676376
0.75790605,-0.00013676376
0.76141551,-0.00013676376
0.76492496,-0.00013676376
0.76843442,-0.00013676376
0.77194388,-0.00013676376
0.77545334,-0.00013676376
0.77896279,-0.00013676376
0.78247225,-0.00013676376
0.78598171,-0.00013676376
0.78949117,-0.00013676376
0.79300062,-0.00013676376
0.79651008,-0.00013676376
0.80001954,-0.00013676376
0.80352899,-0.00013676376
0.80703845,-0.00013676376
0.81054791,-0.00013676376
0.81405737,-0.00013676376
0.81756682,-0.00013676376
0.82107628,-0.00013676376
0.82458574,-0.00013676376
0.8280952,-0.00013676376
0.83160465,-0.00013676376
0.83511411,-0.00013676376
0.83862357,-0.00013676376
0.84213303,-0.00013676376
0.84564248,-0.00013676376
0.84915194,-0.00013676376
0.8526614,-0.00013676376
0.85617086,-0.00013676376
0.85968031,-0.00013676376
0.86318977,-0.00013676376
0.86669923,0.00050408443
0.87020869,0.0013053403
0.87371814,0.029769523
0.8772276,0.072093049
0.88073706,0.11441657
0.88424652,0.1567401
0.88775597,0.24299117
0.89126543,0.3439024
0.89477489,0.44481362
0.89828435,0.54572485
0.9017938,0.58541595
0.90530326,0.61286267
0.90881272,0.64030938
0.91232218,0.66775609
0.91583163,0.68681571
0.91934109,0.70017558
0.92285055,0.71353545
0.92636001,0.72689532
0.92986946,0.74025519
0.93337892,0.74649509
0.93688838,0.74975142
0.94039784,0.75300775
0.94390729,0.75626408
0.94741675,0.76568756
0.95092621,0.77676769
0.95443567,0.78784782
0.95794512,0.7962198
0.96145458,0.79329055
0.96496404,0.79036131
0.9684735,0.78743207
0.97198295,0.78450282
0.97549241,0.78098055
0.97900187,0.77609169
0.98251133,0.77267686
0.98602078,0.77206793
0.98953024,0.77145901
0.9930397,0.77085008
0.99654915,0.77024116
1.0000586,0.77052325
1.0035681,0.7771894
1.0070775,0.78385554
1.010587,0.79052168
1.0140964,0.79906357
1.0176059,0.80922096
1.0211154,0.81937834
1.0246248,0.82953572
1.0281343,0.83153612
1.0316437,0.81444259
1.0351532,0.79734905
1.0386626,0.78025551
1.0421721,0.76783877
1.0456816,0.76295989
1.049191,0.75808101
1.0527005,0.75320213
1.0562099,0.74832325
1.0597194,0.75282384
1.0632288,0.75947191
1.0667383,0.76611999
1.0702478,0.77156087
1.0737572,0.77269036
1.0772667,0.77381986
1.0807761,0.77494935
1.0842856,0.77607884
1.087795,0.77210181
1.0913045,0.76802485
1.094814,0.7639479
1.0983234,0.76089672
1.1018329,0.77275719
1.1053423,0.78461765
1.1088518,0.79647812
1.1123613,0.80833858
1.1158707,0.81376671
1.1193802,0.81263722
1.1228896,0.81150772
1.1263991,0.81037823
1.1299085,0.80731454
1.133418,0.79866584
1.1369275,0.79001714
1.1404369,0.78136844
1.1439464,0.77276111
1.1474558,0.76625719
1.1509653,0.75975326
1.1544747,0.75324934
1.1579842,0.74799296
1.1614937,0.75361943
1.1650031,0.7592459
1.1685126,0.76487237
1.172022,0.77049884
1.1755315,0.79298262
1.1790409,0.81832159
1.1825504,0.84366056
1.1860599,0.85819965
1.1895693,0.84353236
