# Lowrie & Edwards (2008) NLTE analytic IC for Mach 2 radiative shock
# Columns: x(cm)  rho(g/cc)  T_mat(K)  T_rad(K)  vx(cm/s)
# Shock at x = 0; simulation coordinates (downstream left, upstream right)
# 4000 points
-3.1000000000e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0972243061e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0944486122e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0916729182e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0888972243e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0861215304e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0833458365e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0805701425e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0777944486e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0750187547e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0722430608e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0694673668e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0666916729e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0639159790e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0611402851e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0583645911e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0555888972e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0528132033e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0500375094e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0472618155e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0444861215e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0417104276e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0389347337e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0361590398e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0333833458e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0306076519e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0278319580e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0250562641e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0222805701e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0195048762e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0167291823e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0139534884e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0111777944e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0084021005e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0056264066e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0028507127e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-3.0000750188e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9972993248e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9945236309e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9917479370e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9889722431e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9861965491e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9834208552e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9806451613e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9778694674e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9750937734e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9723180795e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9695423856e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9667666917e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9639909977e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9612153038e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9584396099e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9556639160e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9528882221e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9501125281e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9473368342e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9445611403e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9417854464e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9390097524e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9362340585e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9334583646e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9306826707e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9279069767e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9251312828e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9223555889e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9195798950e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9168042011e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9140285071e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9112528132e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9084771193e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9057014254e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9029257314e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.9001500375e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8973743436e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8945986497e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8918229557e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8890472618e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8862715679e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8834958740e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8807201800e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.8779444861e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
