# Lowrie & Edwards (2008) NLTE analytic IC for Mach 2 radiative shock
# Columns: x(cm)  rho(g/cc)  T_mat(K)  T_rad(K)  vx(cm/s)
# Shock at x = 0; simulation coordinates (downstream left, upstream right)
# 4000 points
-3.1000000000e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0983495874e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0966991748e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0950487622e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0933983496e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0917479370e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0900975244e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0884471118e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0867966992e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0851462866e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0834958740e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0818454614e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0801950488e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0785446362e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0768942236e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0752438110e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0735933983e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0719429857e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0702925731e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0686421605e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0669917479e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0653413353e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0636909227e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0620405101e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0603900975e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0587396849e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0570892723e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0554388597e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0537884471e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0521380345e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0504876219e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0488372093e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0471867967e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0455363841e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0438859715e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0422355589e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0405851463e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0389347337e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0372843211e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0356339085e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0339834959e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0323330833e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0306826707e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0290322581e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0273818455e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0257314329e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0240810203e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0224306077e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0207801950e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0191297824e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0174793698e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0158289572e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0141785446e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0125281320e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0108777194e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0092273068e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0075768942e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0059264816e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0042760690e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0026256564e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-3.0009752438e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9993248312e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9976744186e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9960240060e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9943735934e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9927231808e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9910727682e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9894223556e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9877719430e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9861215304e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9844711178e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9828207052e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9811702926e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9795198800e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9778694674e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9762190548e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9745686422e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9729182296e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9712678170e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9696174044e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9679669917e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9663165791e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9646661665e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9630157539e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
-2.9613653413e-01  1.0000000000e+00  1.4157512106e+06  1.4157512106e+06  3.4616000000e+07
