# Source: Steinberg & Heizler (2021), https://arxiv.org/abs/2108.13453, Fig. 9(a)
# Digitized magenta analytic curves from the Mach 2 panel
# x is in the paper orientation: upstream on the left, downstream on the right
# x(cm), T_gas(keV), T_rad(keV), rho(g/cc), vx(cm/s)
-0.1815, 0.1229024943, 0.1260770975, 1, -0
-0.181324581, 0.1229024943, 0.1265306123, 1, -0
-0.180798324, 0.1238095238, 0.1292517007, 1, -136054.4218
-0.180272067, 0.1249433107, 0.1328798186, 1.003401361, -136054.4218
-0.1797458101, 0.1263038549, 0.137414966, 1.006802721, -272108.8435
-0.1792195531, 0.1283446712, 0.1433106576, 1.006802721, -272108.8435
-0.1786932961, 0.1309145881, 0.1501133787, 1.013605442, -498866.2132
-0.1781670391, 0.1346938776, 0.1582766441, 1.022108844, -646258.5034
-0.1776407821, 0.1393801965, 0.1668934241, 1.027210884, -952380.9524
-0.1771145251, 0.1446712018, 0.1757369615, 1.036281179, -1224489.796
-0.1765882682, 0.1510204082, 0.1845804989, 1.045351474, -1496598.639
-0.1760620112, 0.156462585, 0.1922902494, 1.054421769, -1904761.905
-0.1755357542, 0.1637188209, 0.1997732426, 1.069727891, -2312925.17
-0.1750094972, 0.1707482993, 0.2071050643, 1.0861678, -2721088.435
-0.1744832402, 0.177324263, 0.2131519275, 1.095238095, -3129251.701
-0.1739569832, 0.1845804989, 0.2195011338, 1.115646259, -3537414.966
-0.1734307263, 0.1904761905, 0.2244897959, 1.131519274, -4036281.179
-0.1729044693, 0.2489795918, 0.2290249433, 1.367346939, -9863945.578
-0.1723782123, 0.2682539683, 0.2311413454, 1.823129252, -15646258.5
-0.1718519553, 0.2675736961, 0.2332577475, 1.863945578, -16054421.77
-0.1713256983, 0.2669690098, 0.2353741497, 1.894557823, -16462585.03
-0.1707994413, 0.2663643235, 0.2371882086, 1.931972789, -16666666.67
-0.1702731844, 0.2653061224, 0.2387755102, 1.963718821, -17006802.72
-0.1697469274, 0.264399093, 0.2402116402, 1.993197279, -17278911.56
-0.1692206704, 0.2637188209, 0.2412698413, 2.01814059, -17505668.93
-0.1686944134, 0.2630385488, 0.2426303855, 2.0430839, -17755102.04
-0.1681681564, 0.2621315193, 0.2439909297, 2.068027211, -17959183.67
-0.1676418994, 0.2613756614, 0.2447845805, 2.088435374, -18049886.62
-0.1671156425, 0.2605442177, 0.2458049887, 2.108843537, -18276643.99
-0.1665893855, 0.2598639456, 0.246409675, 2.129251701, -18367346.94
-0.1660631285, 0.2592592593, 0.2473167045, 2.142857143, -18469387.76
-0.1655368715, 0.2588057445, 0.2480725623, 2.158163265, -18639455.78
-0.1650106145, 0.2580498866, 0.2487528345, 2.174603175, -18775510.2
-0.1644843575, 0.2577097506, 0.2491307634, 2.183673469, -18775510.2
-0.1639581006, 0.2574452003, 0.2494331066, 2.197278912, -18911564.63
-0.1634318436, 0.2566893424, 0.2498866213, 2.204081633, -18911564.63
-0.1629055866, 0.2566893424, 0.2562358277, 2.217687075, -19047619.05
-0.1623793296, 0.2507936508, 0.2507936508, 2.224489796, -19047619.05
-0.1618530726, 0.2557823129, 0.2512471655, 2.229024943, -19183673.47
-0.1613268156, 0.2557823129, 0.2553287982, 2.239795918, -19183673.47
-0.1608005587, 0.2535147392, 0.2535147392, 2.244897959, -19183673.47
-0.1602743017, 0.252154195, 0.2517006803, 2.249433107, -19319727.89
-0.1597480447, 0.2548752834, 0.2548752835, 2.25170068, -19319727.89
-0.1592217877, 0.2535147392, 0.2532879819, 2.258503401, -19319727.89
-0.1586955307, 0.2526077098, 0.252154195, 2.258503401, -19319727.89
-0.1581692737, 0.2544217687, 0.2544217687, 2.265306122, -19319727.89
-0.1576430168, 0.2535147392, 0.2532879819, 2.265306122, -19421768.71
-0.1571167598, 0.2530612245, 0.2526077097, 2.265306122, -19455782.31
-0.1565905028, 0.253968254, 0.253968254, 2.272108844, -19455782.31
-0.1560642458, 0.2535147392, 0.2532879819, 2.272108844, -19455782.31
-0.1555379888, 0.2530612245, 0.2530612245, 2.272108844, -19455782.31
-0.1550117318, 0.253968254, 0.2530612245, 2.275510204, -19455782.31
-0.1544854749, 0.253968254, 0.253968254, 2.278911565, -19455782.31
-0.1539592179, 0.2530612245, 0.2530612245, 2.278911565, -19455782.31
-0.1534329609, 0.253968254, 0.2530612245, 2.278911565, -19455782.31
-0.1529067039, 0.253968254, 0.2535147392, 2.278911565, -19455782.31
-0.1523804469, 0.2535147392, 0.2530612245, 2.278911565, -19455782.31
-0.1518541899, 0.2535147392, 0.2530612245, 2.278911565, -19455782.31
-0.151327933, 0.2535147392, 0.2535147392, 2.278911565, -19455782.31
-0.150801676, 0.2535147392, 0.2535147392, 2.278911565, -19455782.31
-0.150275419, 0.2535147392, 0.2535147392, 2.285714286, -19455782.31
