# Digitized from Steinberg & Heizler 2022 Fig. 9(a) analytic (magenta)
# x(cm), T_gas(keV), T_rad(keV), rho(g/cc), vx(cm/s)
# x,T_gas,T_rad,rho,vx
-0.18500381,0.11619063,0.11619063,0.95239602,-0
-0.18488004,0.11619063,0.11619063,0.95239602,-0
-0.18475626,0.11619063,0.11619063,0.95239602,-0
-0.18463249,0.11619063,0.11619063,0.95239602,-0
-0.18450872,0.11619063,0.11619063,0.95239602,-0
-0.18438494,0.11619063,0.11619063,0.95239602,-0
-0.18426117,0.11619063,0.11619548,0.95239602,-0
-0.1841374,0.11619063,0.11619766,0.95239602,-0
-0.18401362,0.11619063,0.11619766,0.95239602,-0
-0.18388985,0.11619063,0.11619766,0.95239602,-0
-0.18376607,0.11619063,0.11619766,0.95239602,-0
-0.1836423,0.11619063,0.11619766,0.95239602,-0
-0.18351853,0.11619063,0.11619766,0.95239602,-0
-0.18339475,0.11619063,0.11619766,0.95239602,-0
-0.18327098,0.11619063,0.11620209,0.95239602,-0
-0.1831472,0.11619063,0.11620469,0.95239602,-0
-0.18302343,0.11619063,0.11620469,0.95239602,-0
-0.18289966,0.11619063,0.11620535,0.95239602,-0
-0.18277588,0.11619164,0.11621173,0.95239602,-0
-0.18265211,0.11619766,0.11621173,0.95239602,-0
-0.18252833,0.11619766,0.11621634,0.95239602,-0
-0.18240456,0.11619766,0.11621876,0.95239602,-0
-0.18228079,0.11619766,0.11622365,0.95239602,-0
-0.18215701,0.11619766,0.11622579,0.95239602,-0
-0.18203324,0.11619766,0.11623282,0.95239602,-0
-0.18190947,0.11619766,0.11623496,0.95239602,-0
-0.18178569,0.11619945,0.11624165,0.95239602,-0
-0.18166192,0.11620469,0.11624919,0.95239602,-0
-0.18153814,0.11620469,0.11625392,0.95239602,-0
-0.18141437,0.11620469,0.1162601,0.95239602,-0
-0.1812906,0.11621061,0.11627279,0.95239602,-0
-0.18116682,0.11621173,0.11628105,0.95239602,-0
-0.18104305,0.11621173,0.116296,0.95239602,-0
-0.18091927,0.11621378,0.11630521,0.95239602,-0
-0.1807955,0.11621876,0.11631966,0.95239602,-947.47845
-0.18067173,0.11622168,0.11633713,0.95239602,-2109.8797
-0.18054795,0.11622579,0.11635245,0.95239602,-2109.8797
-0.18042418,0.11623087,0.11637466,0.95239602,-2109.8797
-0.18030041,0.11623322,0.11639615,0.95239602,-2109.8797
-0.18017663,0.1162397,0.1164221,0.95239602,-2109.8797
-0.18005286,0.11624697,0.11645115,0.95239716,-2109.8797
-0.17992908,0.11625523,0.11648422,0.95250152,-2109.8797
-0.17980531,0.11626442,0.11652098,0.95250152,-3150.2881
-0.17968154,0.11627209,0.11656392,0.95250152,-4219.7595
-0.17955776,0.11628298,0.11660835,0.95250152,-4219.7595
-0.17943399,0.11629379,0.11665956,0.95250152,-4219.7595
-0.17931021,0.11630882,0.11671399,0.95250152,-6124.2083
-0.17918644,0.11632102,0.11678126,0.95252052,-6329.6147
-0.17906267,0.11633986,0.11685317,0.95260701,-6560.9496
-0.17893889,0.11635576,0.11693442,0.95260701,-8439.4944
-0.17881512,0.11637827,0.11702573,0.95260701,-8439.4944
-0.17869134,0.11640136,0.1171274,0.95267605,-9820.3468
-0.17856757,0.11642797,0.11724108,0.9527125,-11998.442
-0.1784438,0.11645581,0.11737114,0.9527125,-12659.229
-0.17832002,0.11648695,0.11751352,0.95279515,-14312.08
-0.17819625,0.11652882,0.1176703,0.9528203,-16878.989
-0.17807248,0.11656924,0.11784943,0.95292349,-17984.993
-0.1779487,0.11661494,0.11804526,0.95294356,-21500.187
-0.17782493,0.11666636,0.11826567,0.95305377,-23704.227
-0.17770115,0.11672423,0.11851366,0.95313448,-26184.16
