# Digitized from Steinberg & Heizler 2022 Fig. 9(a) DIMC (green)
# x(cm), T_gas(keV), T_rad(keV), rho(g/cc), vx(cm/s)
# x,T_gas,T_rad,rho,vx
-0.18500381,0.12199235,0.1215936,0.99988924,-0
-0.18488004,0.12198692,0.1216134,1,-0
-0.18475626,0.1219941,0.12152368,1,-0
-0.18463249,0.12199973,0.12154823,1.0000116,-0
-0.18450872,0.12199973,0.12198836,1.0000652,-0
-0.18438494,0.12200027,0.12235991,1.0001026,-0
-0.18426117,0.12200386,0.12234914,1.0000487,-0
-0.1841374,0.12200711,0.12231562,1,97.056823
-0.18401362,0.12200711,0.12206439,1,1122.5336
-0.18388985,0.12200711,0.12180462,1,2109.8553
-0.18376607,0.12200711,0.1213237,1,2109.8553
-0.1836423,0.12200711,0.12084277,1,2109.8553
-0.18351853,0.12200711,0.12109677,1,2109.8553
-0.18339475,0.12200711,0.12136595,1,2109.8553
-0.18327098,0.12200381,0.12125153,1,1166.8501
-0.1831472,0.12200023,0.12110483,1,144.43442
-0.18302343,0.12199973,0.12143439,1,-0
-0.18289966,0.12199973,0.12184232,1,-0
-0.18277588,0.12200544,0.12174325,0.9999572,-0
-0.18265211,0.12201261,0.12151356,0.99990336,-0
-0.18252833,0.1220145,0.12214962,0.99988924,-0
-0.18240456,0.1220145,0.12309352,0.99988924,-0
-0.18228079,0.1220145,0.12301446,0.99992586,-0
-0.18215701,0.1220145,0.12245458,0.9999797,-0
-0.18203324,0.12202341,0.12229243,0.99996657,-0
-0.18190947,0.12203772,0.12237115,0.9999129,-0
-0.18178569,0.12204203,0.12166526,0.99988924,-0
-0.18166192,0.12203844,0.12034093,0.99988924,-0
-0.18153814,0.12203664,0.11979458,0.99994327,-0
-0.18141437,0.12203664,0.12002069,1.0000509,-0
-0.1812906,0.12204303,0.12017024,1.0000868,-0
-0.18116682,0.12205738,0.12022408,1.000033,-0
-0.18104305,0.12206479,0.12077086,1.0000208,-396.76711
-0.18091927,0.12206121,0.12209878,1.0000747,-1422.2558
-0.1807955,0.1220588,0.12277699,1.0001284,-2109.8797
-0.18067173,0.1220588,0.1221329,1.0001821,-2109.8797
-0.18054795,0.12206262,0.12177456,1.0002215,-2109.8797
-0.18042418,0.12207697,0.12220524,1.0002215,-2109.8797
-0.18030041,0.12209058,0.1226232,1.0002327,-2323.6227
-0.18017663,0.12210135,0.12299286,1.0002866,-3349.1114
-0.18005286,0.12211211,0.123207,1.0003485,-4529.4389
-0.17992908,0.12212288,0.12254663,1.0004562,-6580.4043
-0.17980531,0.12213599,0.12189012,1.0005487,-8535.1462
-0.17968154,0.12217177,0.12127108,1.0004951,-9557.5738
-0.17955776,0.12220734,0.12070177,1.0004446,-10580.093
-0.17943399,0.12223606,0.12174257,1.0004985,-11605.569
-0.17931021,0.12226476,0.12278338,1.0005523,-12631.046
-0.17918644,0.12231807,0.12315505,1.0005013,-14659.83
-0.17906267,0.12237206,0.12350783,1.0004473,-16716.966
-0.17893889,0.12241587,0.12241813,1.0005419,-18762.777
-0.17881512,0.12245881,0.1212051,1.0006492,-20807.621
-0.17869134,0.12253264,0.12228517,1.0006645,-23737.215
-0.17856757,0.1226116,0.12374588,1.0006645,-26813.669
-0.1784438,0.12267906,0.12475858,1.0008368,-30710.721
-0.17832002,0.12274367,0.1256594,1.0010521,-34812.664
-0.17819625,0.12283226,0.12544595,1.0011875,-39676.294
-0.17807248,0.12292917,0.1248466,1.0012952,-44803.713
-0.1779487,0.12303345,0.12475146,1.0014766,-49931.133
-0.17782493,0.12314112,0.12488784,1.0016919,-55058.552
-0.17770115,0.12326481,0.12544036,1.0019077,-60841.464
-0.17757738,0.123398,0.1262395,1.0021236,-67012.85
-0.17745361,0.12354987,0.12666711,1.0022462,-73184.235
-0.17732983,0.12371545,0.1268219,1.0023002,-79355.621
-0.17720606,0.12388079,0.12750247,1.0025238,-86594.74
-0.17708228,0.12404588,0.12865812,1.0029006,-94798.626
-0.17695851,0.12423815,0.12950211,1.0032527,-104457.8
