# Mach45 analytic profile (Lowrie & Edwards 2008)
# Np=2000  xmin=1950.0  xmax=2450.0  shock_x=2300.0
# x(cm), rho(g/cc), T_gas(K), Erad(erg/cc), v_x(cm/s)
1950.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1950.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1950.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1950.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1951.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1951.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1951.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1951.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1952.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1952.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1952.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1952.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1953.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1953.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1953.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1953.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1954.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1954.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1954.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1954.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1955.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1955.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1955.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1955.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1956.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1956.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1956.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1956.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1957.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1957.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1957.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1957.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1958.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
