# Digitized from Steinberg & Heizler 2022 Fig. 9(b) DIMC (green)
# x(cm), T_gas(keV), T_rad(keV), rho(g/cc), vx(cm/s)
# x,T_gas,T_rad,rho,vx
-750.03629,0.098651485,0.093124791,1.013872,27633.385
-749.03271,0.098060492,0.093773275,1.0245099,27633.385
-748.02912,0.098043291,0.095276635,1.0273674,18312.004
-747.02553,0.10055553,0.096375741,0.99502226,-28792.428
-746.02194,0.10122129,0.09339807,0.9849837,-62050.642
-745.01836,0.09951746,0.085188719,1.0035709,-77540.174
-744.01477,0.10094003,0.098948432,0.99289957,-52717.441
-743.01118,0.10401711,0.12433432,0.96674442,-6561.1854
-742.00759,0.10058808,0.11181058,0.99369128,-0
-741.00401,0.096728172,0.095768359,1.0244594,-0
-740.00042,0.1003272,0.11157278,0.99785793,-0
-738.99683,0.10245731,0.11175584,0.98299846,9691.2739
-737.99325,0.10137671,0.077794019,0.99380449,40565.561
-736.98966,0.099948019,0.043090419,1.0081745,46956.384
-735.98607,0.098202922,0.0077125449,1.0257841,31091.915
-734.98248,0.10039217,0.038422962,1.0060064,39869.96
-733.9789,0.10441408,0.088540224,0.97683467,52747.385
-732.97531,0.15355986,0.19892195,1.01075,-104267.87
-731.97172,0.23627132,0.34101498,1.0321736,-294716.36
-730.96813,0.41647012,0.57520952,1.0173168,-582267.49
-729.96455,0.55496228,0.73147738,0.99703566,-815971.98
-728.96096,0.65592151,0.8176169,0.97187304,-1001218.4
-727.95737,0.73764206,0.89068736,0.98047864,-1129102.2
-726.95379,0.81247164,0.95907669,1.0011794,-1236439.6
-725.9502,0.87592263,1.0278241,1.0044491,-1331513
-724.94661,0.93723113,1.092493,1.0060799,-1458552.6
-723.94302,0.99218648,1.1377134,1.0057659,-1741180.2
-722.93944,1.0451434,1.1849687,1.0106432,-1854125.5
-721.93585,1.0952752,1.2351006,1.0228588,-1727209.3
-720.93226,1.1412552,1.2851067,1.0118145,-1855165.2
-719.92868,1.185213,1.3350516,0.98944172,-2107252.9
-718.92509,1.2271703,1.3741903,1.0035753,-2156525
-717.9215,1.268325,1.4112649,1.0160406,-2216596.3
-716.91791,1.3060087,1.4421969,1.0012811,-2436417.6
-715.91433,1.3423975,1.4673327,0.99903901,-2656238.9
-714.91074,1.3767838,1.4835053,1.0161537,-2876060.2
-713.90715,1.4126612,1.5255326,1.0217308,-2734386.6
