# Digitized from Steinberg & Heizler 2022 Fig. 9(b) SN reference (black)
# x(cm), T_gas(keV), T_rad(keV), rho(g/cc), vx(cm/s)
# x,T_gas,T_rad,rho,vx
-750.03629,0.10003316,0.10003316,1.0000553,-0
-749.0515,0.10004,0.10003316,1.0000621,-682.90436
-748.06671,0.10004685,0.10003316,1.0000689,-1365.8087
-747.08191,0.1000537,0.10003316,1.0000757,-2048.7131
-746.09712,0.10006054,0.10003316,1.0000825,-2731.6174
-745.11232,0.10006739,0.10003316,1.0000893,-3414.5218
-744.12753,0.10007423,0.10003316,1.0000962,-4097.4262
-743.14274,0.10008108,0.10003316,1.000103,-4780.3305
-742.15794,0.10008792,0.10003316,1.0001098,-5463.2349
-741.17315,0.10009477,0.10003316,1.0001166,-6146.1392
-740.18836,0.10010162,0.10003316,1.0001234,-6829.0436
-739.20356,0.10010846,0.10003316,1.0001302,-7511.948
-738.21877,0.10011531,0.10003316,1.000137,-8194.8523
-737.23398,0.10012215,0.10003316,1.0001439,-8877.7567
-736.24918,0.100129,0.10003316,1.0001507,-9560.661
-735.26439,0.10013584,0.10003316,1.0001575,-10243.565
-734.27959,0.10014269,0.10003316,1.0001643,-10926.47
-733.2948,0.10014954,0.10003316,1.0001711,-11609.374
-732.31001,0.10015638,0.10003316,1.0001779,-12292.278
-731.32521,0.10016323,0.10003316,1.0001847,-12975.183
-730.34042,0.10017007,0.10003316,1.0001916,-13658.087
-729.35563,0.41090555,0.61815749,1.0011601,-552669.39
-728.37083,0.55706907,0.73780983,1.0014369,-806540.04
-727.38604,0.65746402,0.82476044,1.0017133,-994804.82
-726.40125,0.7391146,0.89767015,1.0019896,-1144202.3
-725.41645,0.81010915,0.96199125,1.0022659,-1283750
-724.43166,0.87314155,1.0200355,1.0025423,-1394756
-723.44686,0.93077517,1.0733954,1.0028186,-1525961.3
-722.46207,0.98408747,1.1230073,1.0028892,-1644487.3
-721.47728,1.0340063,1.1698551,1.0030949,-1756277.7
-720.49248,1.0811163,1.2142055,1.0033713,-1854913.6
-719.50769,1.1260083,1.2564731,1.0035497,-1942395.4
-718.5229,1.1686679,1.2972842,1.0036476,-2051549.1
-717.5381,1.20981,1.3361273,1.0037517,-2158996
-716.55331,1.2490966,1.3737208,1.0040279,-2252266.4
-715.56852,1.2875062,1.4105165,1.0042003,-2344702.1
-714.58372,1.3244314,1.4459793,1.0043976,-2443583.9
-713.59893,1.3602352,1.4805262,1.0044766,-2533738.5
-712.61413,1.3949783,1.5138959,1.004753,-2620493.7
-711.62934,1.4289148,1.546928,1.004882,-2733888.3
-710.64455,1.4622352,1.5791296,1.0050293,-2818293.7
-709.65975,1.4946688,1.6106471,1.0051488,-2925423.8
-708.67496,1.5263521,1.6416733,1.0053056,-3012048.3
-707.69017,1.5575256,1.672037,1.005582,-3120079.4
-706.70537,1.5880437,1.7018641,1.0057349,-3223732.3
-705.72058,1.6179944,1.7313609,1.0058583,-3322877.5
-704.73579,1.647588,1.7603897,1.0061061,-3417988.2
-703.75099,1.676806,1.7889978,1.0061347,-3509479.3
-702.7662,1.7054214,1.8173157,1.0064216,-3625300.6
-701.7814,1.7337846,1.8452877,1.0066172,-3723104.6
-700.79661,1.7618665,1.8730634,1.0068532,-3824515.5
-699.81182,1.7895997,1.9004014,1.007106,-3925649
-698.82702,1.8170038,1.9274267,1.00724,-4034698.7
-697.84223,1.844101,1.9543586,1.0073125,-4153635.6
-696.85744,1.8709541,1.9811847,1.0075433,-4269033
-695.87264,1.8974581,2.0074659,1.007766,-4380394.1
-694.88785,1.923749,2.0337303,1.0079821,-4488471.8
-693.90306,1.9498827,2.0598639,1.0081867,-4602524.4
-692.91826,1.9758843,2.0858283,1.0083826,-4723761.1
-691.93347,2.0017013,2.1114554,1.0085724,-4856642.5
-690.94868,2.0272251,2.1370655,1.0087571,-4972381.3
-689.96388,2.0526428,2.1625835,1.008979,-5089323.4
-688.97909,2.0780488,2.1878131,1.0093318,-5230467.9
-687.99429,2.1031568,2.2129743,1.0095633,-5356819
-687.0095,2.1281109,2.238098,1.0097387,-5476123.3
-686.02471,2.1529954,2.2631473,1.0100683,-5607961.6
-685.03991,2.1778183,2.2881327,1.0103365,-5743651.9
-684.05512,2.202531,2.3130038,1.0104949,-5886225.5
-683.07033,2.227068,2.337755,1.0107091,-6033086.1
-682.08553,2.2514946,2.3624309,1.0109584,-6182636.9
-681.10074,2.2758887,2.38707,1.0112508,-6334406.3
-680.11595,2.3002333,2.4116534,1.0116088,-6489543.9
-679.13115,2.3246026,2.4362418,1.0119377,-6644791.4
-678.14636,2.3490142,2.4606534,1.0120807,-6799785.3
-677.16156,2.3730342,2.4851694,1.012462,-6952293.2
