# time = 2.000000000000e-09
# x  density  temperature  T_rad  velocity_x  pressure  mass_coord
-4.491403111242e-02 9.249690429830e-04 1.156866779219e+06 1.160299002487e+06 -2.566770799504e+07 2.080359058292e+10 5.603937051379e-06
-4.008094631587e-02 1.069593127838e-03 1.151980028783e+06 1.159771165513e+06 -2.309966878506e+07 2.341291386858e+10 1.031647265858e-05
-3.610220260576e-02 1.629617113133e-03 1.153565737115e+06 1.159176715897e+06 -2.134273229499e+07 3.370364728811e+10 1.650099968538e-05
-3.249078666799e-02 2.367078123650e-03 1.152927340030e+06 1.158343192489e+06 -1.949171403754e+07 4.642174671715e+10 2.459582492831e-05
-2.926269430052e-02 3.329661501881e-03 1.152397793293e+06 1.157209339982e+06 -1.779696944102e+07 6.220760620531e+10 3.464564652395e-05
-2.645424416062e-02 4.519701010748e-03 1.151423086329e+06 1.155753807463e+06 -1.630874460810e+07 8.079524234739e+10 4.651670443518e-05
-2.400966633119e-02 5.925585269195e-03 1.150010503958e+06 1.153973435037e+06 -1.501210819823e+07 1.017858285376e+11 6.006895498236e-05
-2.188009665231e-02 7.530571031020e-03 1.148205848436e+06 1.151878317779e+06 -1.388178704845e+07 1.247725805980e+11 7.504028070151e-05
-2.003352012462e-02 9.306313038720e-03 1.146058457950e+06 1.149499375060e+06 -1.289775243424e+07 1.492434108437e+11 9.109377223750e-05
-1.843007482966e-02 1.122192337027e-02 1.143621466582e+06 1.146877381153e+06 -1.203993840172e+07 1.747129525082e+11 1.079516024020e-04
-1.702907434322e-02 1.325343993806e-02 1.140940015089e+06 1.144045434383e+06 -1.128759547361e+07 2.008346554277e+11 1.254237270230e-04
-1.579345751331e-02 1.538571472958e-02 1.138045778343e+06 1.141027058677e+06 -1.062171086471e+07 2.274009740155e+11 1.434033234965e-04
-1.469189381056e-02 1.761185052342e-02 1.134956737180e+06 1.137833038331e+06 -1.002613112449e+07 2.543166133894e+11 1.618449808986e-04
